video,start1,end1,start2,end2,start3,end3,start4,end4
1,3.966,6.466,9.333,11.633,,,,
2,5.433,9.2,12.566,15.733,,,,
3,2.6,5.066,7.966,10.4,,,,
4,7.3,10.3,16.066,19.133,,,,
5,6.9,9.1,12.533,14.633,,,,
6,0.466,3.066,6.566,9.133,,,,
7,0.433,2.666,6.666,9.4,,,,
8,6.166,9.166,13,15.7,,,,
9,3.466,6.733,14.833,17.566,,,,
10,4.5,8.066,11.833,15.8,,,,
11,4.533,7.3,10.8,13.366,,,,
12,2.8,7.6,12.133,17.233,,,,
13,0.1,2.7,5.533,8.433,,,,
14,2.466,5.2,7.66,10.233,,,,
15,2.066,3.933,8.1,10.3,,,,
16,5.3,9.1,12.7,15.833,,,,
17,10.033,12.333,14.866,17.6,,,,
18,,,6.966,11.266,,,,
19,1.333,4.066,7.033,9.666,,,,
20,5.6,8.3,12.8,15.533,,,,
21,7.266,9.9,21.866,24.466,,,,
22,5.8,9.666,15.666,19.7,,,,
23,5.733,8.7,20.5,23.366,,,,
24,7.1,10.233,23.633,26.133,40.2,44.933,58.1,01:02.9
25,5.4,8,14.433,17.266,,,,
26,2.2,4.833,7.566,10.733,,,,
27,2.633,5.4,10.066,12.833,,,,
28,7.3,10.466,16.8,20.3,,,,
29,0.166,4.4,9.033,13.366,,,,
30,1.2,3.1,7.566,9.9,,,,
31,8.3,11.233,16.166,18.966,,,,
32,2.233,5.333,8.466,11.766,,,,
33,5.966,8.8,19.033,22.066,,,,
34,1.6,4.133,13,16.366,35.233,37.6,,
35,16.033,19.633,27.466,30.5,,,,
36,8.5,13.1,30.033,35.333,,,,
37,5.366,8.733,23.333,26.966,,,,
38,11.166,14.9,22.566,25.1,,,,
39,1.766,4,20.866,23.866,,,,
40,1.233,4.3,,,,,,
41,6.266,9.933,19.266,22.033,,,,
42,4.133,6.466,,,,,,
43,2.633,4.866,13.366,15.066,,,,
44,2.466,4.466,,,,,,
45,6.433,10.2,22.833,27,,,,
46,7.866,11.5,33.766,38.266,,,,
47,9.366,12.433,,,,,,
48,5.9,7.7,,,,,,
49,3.566,6.8,,,,,,
50,7.866,11.833,,,,,,
51,6.166,9.7,,,,,,
52,6.066,9.433,,,,,,
53,2.233,5.966,,,,,,
54,8.666,16.533,,,,,,
55,7.066,10.833,,,,,,
56,10.4,13.866,,,,,,
57,0,2.133,,,,,,
58,5.366,7.666,,,,,,
59,7.366,11.666,,,,,,
60,16.3,18.633,,,,,,
61,18.5,21.166,,,,,,
62,13.966,7.233,,,,,,
63,6.266,9.666,,,,,,
64,23.733,26.1,,,,,,
65,0,6.733,12.1,19.033,,,,
66,1.966,8.5,17.233,25.533,,,,
67,2.6,7.4,11.4,16.433,,,,
68,1.433,8.033,13.366,20.633,,,,
69,,,8.966,16.666,,,,
70,2.466,10.2,19.133,29.533,,,,
71,1.433,7.3,10.833,17.266,,,,
72,2.533,10.1,24.733,33.166,,,,
73,0.566,8.433,20.666,27.533,,,,
74,1.3,7.666,11.433,17.266,,,,
75,4.6,12.7,21.5,31.2,,,,
76,,,12.366,23.033,,,,
77,,,15,24.566,,,,
78,0.1,6.8,10.733,17.133,,,,
79,2.1,9.966,,,,,,
80,3.8,11.833,,,,,,
81,3.633,11.566,21.633,29.633,,,,
82,0.933,8.233,13.033,20.8,,,,
83,6.433,17.6,40,53.633,,,,
84,0.633,7.766,,,,,,
85,2.033,9.533,,,,,,
86,2.333,9.466,,,,,,
87,0,8.4,,,,,,
88,1.433,15.466,,,,,,
89,1.566,10.066,,,,,,
90,4.066,14.166,,,,,,
91,5.2,14.666,,,,,,
93,4.266,17.4,,,,,,
94,0.833,9.6,,,,,,
95,5.366,17.466,,,,,,
96,8.366,17.766,,,,,,
97,0,9.533,,,,,,
98,3.366,16.833,,,,,,
99,1.933,10.6,,,,,,
100,3.466,12.6,,,,,,
101,2.733,14.5,,,,,,
102,1.233,11.833,,,,,,
103,6.133,17.2,,,,,,
104,5.8,13.666,,,,,,
105,4.7,16.766,,,,,,
106,3.633,16.033,,,,,,
107,2.366,13.266,,,,,,
108,3.333,17.233,,,,,,
